date_utc	operation	run	lane	commands	real_seconds	milliseconds_per_command	result
2026-08-05	list	1	docker	20	0.49	24.5	pass
2026-08-05	list	1	container	20	0.64	32.0	pass
2026-08-05	inspect	1	docker	20	0.47	23.5	pass
2026-08-05	inspect	1	container	20	0.66	33.0	pass
2026-08-05	list	2	docker	20	0.50	25.0	pass
2026-08-05	list	2	container	20	0.65	32.5	pass
2026-08-05	inspect	2	docker	20	0.48	24.0	pass
2026-08-05	inspect	2	container	20	0.66	33.0	pass
2026-08-05	list	3	docker	20	0.51	25.5	pass
2026-08-05	list	3	container	20	0.66	33.0	pass
2026-08-05	inspect	3	docker	20	0.48	24.0	pass
2026-08-05	inspect	3	container	20	0.66	33.0	pass
2026-08-05	list	4	docker	20	0.49	24.5	pass
2026-08-05	list	4	container	20	0.65	32.5	pass
2026-08-05	inspect	4	docker	20	0.48	24.0	pass
2026-08-05	inspect	4	container	20	0.62	31.0	pass
2026-08-05	list	5	docker	20	0.46	23.0	pass
2026-08-05	list	5	container	20	0.65	32.5	pass
2026-08-05	inspect	5	docker	20	0.47	23.5	pass
2026-08-05	inspect	5	container	20	0.65	32.5	pass
